c_star_A, c_star_B, sigma_ob, SigmaA, SigmaB, mA, mB, r, tau, Lambda
10, 10, 6, 0.5, 0.5, 10, 10, 1, 10, 0.15, SC Model :sigma_ob = 3
0, 10, 2, 0.5, 0.5, 10, 10, 1, 10, 0.15, SC Model :sigma_ob = 2
0, 10, 1, 0.5, 0.5, 10, 10, 1, 10, 0.15, SC Model :sigma_ob = 1
0, 10, 0.5, 0.5, 0.5, 10, 10, 1, 10, 0.15, SC Model :sigma_ob = 0.5
0, 10, 0.1, 0.5, 0.5, 10, 10, 1, 10, 0.15, SC Model :sigma_ob = 0.1
0, 10, 1, 0.5, 0.5, 9, 9, 0, 6, 0.15, test2 
0, 10, 1, 0.5, 0.5, 11, 11, 0, 6, 0.15, test3 
0, 10, 1, 0.5, 0.5, 10, 9, 0, 6, 0.12, test4
0, 10, 1, 0.5, 0.5, 10, 11, 0, 6, 0.11, test5
0, 10, 1, 0.5, 0.5, 10.0, 10, 0, 6, 0.2, test5
0, 10, 1, 0.5, 0.5, 10.1, 10, 0, 6, 0.2, test7
0, 10, 2, 0.5, 0.5, 10.1, 10, 0, 6, 0.2, test8
0, 11, 3, 0.5, 0.5, 11, 10, 0, 6, 0.2, test9
0, 11, 4, 0.5, 0.5, 12, 10, 0, 6, 0.2, test10
0, 11, 1, 0.6, 0.4, 13, 10, 0, 6, 0.2, test11
0, 11, 1, 0.7, 0.3, 14, 10, 0, 6, 0.2, test12
0, 11, 1, 0.8, 0.2, 15, 10, 0, 6, 0.2, test13
